,A,B,C,class
1704,9.385905782165025,-29.209244319889272,-2.138260347048842,0.0
1705,-0.009649593821194458,-30.347050713264785,11.177340104410483,0.0
1706,4.29980890017584,-30.892390099198884,7.470609653047731,0.0
1707,8.609267394172875,-31.437729485132984,3.763879201684979,0.0
1708,12.91872588816991,-31.983068871067083,0.057148750322227215,0.0
1709,17.228184382166944,-32.52840825700118,-3.6495817010405247,0.0
1710,7.832629006180724,-33.6662146503767,9.6660187504188,0.0
1711,12.142087500177759,-34.2115540363108,5.959288299056048,0.0
1712,16.451545994174793,-34.7568934222449,2.2525578476932964,0.0
1713,20.761004488171828,-35.302232808179,-1.4541726036694556,0.0
1714,25.070462982168863,-35.8475721941131,-5.1609030550322075,0.0
1715,15.674907606182636,-36.98537858748861,8.154697396427117,0.0
1716,19.98436610017967,-37.53071797342271,4.4479669450643655,0.0
1717,24.293824594176705,-38.07605735935681,0.7412364937016136,0.0
1718,28.60328308817374,-38.62139674529091,-2.9654939576611383,0.0
1719,32.912741582170774,-39.16673613122501,-6.67222440902389,0.0
1720,-35.661065040416375,-4.489517049212639,19.652382890224793,2.0
1721,-31.35160654641934,-5.034856435146738,15.94565243886204,2.0
1722,-27.042148052422306,-5.580195821080837,12.238921987499289,2.0
1723,-22.732689558425275,-6.12553520701494,8.532191536136537,0.0
1724,-18.42323106442824,-6.670874592949039,4.825461084773785,0.0
1725,-27.818786440414456,-7.808680986324552,18.141061536233117,2.0
1726,-23.509327946417425,-8.35402037225865,14.434331084870365,2.0
1727,-19.19986945242039,-8.89935975819275,10.727600633507613,2.0
1728,-14.89041095842336,-9.444699144126853,7.020870182144861,0.0
1729,-10.580952464426325,-9.990038530060952,3.3141397307821094,0.0
1730,-19.97650784041254,-11.127844923436465,16.629740182241434,2.0
1731,-15.66704934641551,-11.673184309370564,12.923009730878682,2.0
1732,-11.357590852418475,-12.218523695304663,9.21627927951593,2.0
1733,-7.048132358421441,-12.763863081238766,5.509548828153179,0.0
1734,-2.738673864424406,-13.309202467172865,1.8028183767904267,0.0
1735,-12.134229240410626,-14.447008860548378,15.118418828249752,2.0
1736,-7.824770746413595,-14.992348246482477,11.411688376887,2.0
1737,-3.5153122524165603,-15.537687632416576,7.704957925524248,2.0
1738,0.7941462415804708,-16.083027018350677,3.998227474161496,0.0
1739,5.103604735577505,-16.628366404284776,0.2914970227987439,0.0
1740,-4.291950640408707,-17.76617279766029,13.607097474258076,2.0
1741,0.017507853588327293,-18.311512183594388,9.900367022895324,2.0
1742,4.326966347585362,-18.856851569528487,6.193636571532572,0.0
1743,8.63642484158239,-19.402190955462586,2.48690612016982,0.0
1744,12.945883335579424,-19.947530341396686,-1.2198243311929318,0.0
1745,3.5503279595932042,-21.085336734772206,12.095776120266393,2.0
1746,7.859786453590239,-21.630676120706305,8.389045668903641,0.0
1747,12.169244947587273,-22.176015506640404,4.682315217540889,0.0
1748,16.478703441584308,-22.721354892574503,0.9755847661781374,0.0
1749,20.788161935581343,-23.266694278508602,-2.7311456851846145,0.0
1750,11.392606559595123,-24.404500671884115,10.58445476627471,3.0
1751,15.702065053592158,-24.949840057818214,6.8777243149119585,3.0
1752,20.011523547589192,-25.495179443752313,3.1709938635492065,0.0
1753,24.320982041586227,-26.040518829686413,-0.5357365878135454,0.0
1754,28.63044053558326,-26.58585821562051,-4.242467039176297,0.0
