state_abbr,county_name,county_fips,vote_total_county,vote_per_AI,vote_per_AS,vote_per_AU,vote_per_CS,vote_per_D,vote_per_G,vote_per_I,vote_per_IP,vote_per_JF,vote_per_L,vote_per_LN,vote_per_NL,vote_per_NN,vote_per_PG,vote_per_PJ,vote_per_R,vote_per_UC,vote_per_UN,vote_per_UY,vote_per_WP,loc_pct_served,loc_pct_underserved,loc_pct_unserved,loc_count_served,loc_count_underserved,loc_count_unserved
CA,Napa,6055,60803,1.481834778,0,0,0,66.23192935,0.6940447017,0,0,0,0.4670822163,0,0,0,0,0,31.12510896,0,0,0,0,90.54971411,2.227123798,7.223162088,42284,1040,3373
CA,Yolo,6113,86568,1.355004159,0,0,0,66.21499861,1.226781259,0,0,0,0.4978745033,0,0,0,0,0,30.70534147,0,0,0,0,97.11695916,0.7724498404,2.110590999,58714,467,1276
ME,Cumberland,23005,193937,0,0,0,0,66.09930029,1.212249339,0.4485992874,0,0,0.6404141551,0,0,0,0,0,31.59943693,0,0,0,0,98.03060831,0.5221417242,1.447249968,114338,609,1688
NJ,Mercer,34021,161971,0,0,0,0,66.03033876,1.037222713,0.5538028412,0,0,0.240783844,0,0,0,0,0,32.13785184,0,0,0,0,99.65247132,0.03309796999,0.3144307149,108390,36,342
AL,Dallas,1047,15523,0,0,0,0,65.92153579,0.1481672357,0.5089222444,0,0,0,0,0,0,0,0,33.42137473,0,0,0,0,86.32050325,1.263460923,12.41603582,16192,237,2329
NC,Mecklenburg,37119,573004,0,0,0,0,65.70093752,0.7081974995,0,0,0.3497357785,0.4705028237,0,0,0,0,0,32.77062638,0,0,0,0,99.85224798,0.04187304094,0.1058789749,333850,140,354
VA,Fairfax,51600,13396,0,0,0,0,65.66885638,1.47805315,0.2090176172,0,0,0.5300089579,0,0,0,0,0,32.1140639,0,0,0,0,99.52634695,0.2664298401,0.207223209,6724,18,14
DE,New Castle,10003,275395,0,0,0,0,65.61484413,0,0,0.9284845404,0,0.4611557944,0,0,0,0,0,32.99551553,0,0,0,0,99.58816287,0.1326794888,0.2791576445,187648,250,526
AL,Wilcox,1131,5259,0,0,0,0,65.58281042,0,0.3232553717,0,0,0,0,0,0,0,0,34.09393421,0,0,0,0,72.07899067,1.15194734,26.76906199,3942,63,1464
OH,Cuyahoga,39035,573967,0,0,0,0,65.57589548,0,0,0,0,0.4214528013,0,0,0,0,0,34.00265172,0,0,0,0,99.96282813,0.009989940362,0.02718193075,430273,43,117
GA,Douglas,13097,70721,0,0,0,0,65.38369084,0.356329803,0,0,0,0.3294636671,0,0,0,0,0,33.93051569,0,0,0,0,97.42957888,1.43647073,1.133950395,48631,717,566
OR,Washington,41067,293951,0,0,0,0,65.35442982,1.10460587,0,0,0,0.5147116356,0,0,0,0.2204449041,0,31.35046317,0,0,0,1.455344598,97.03227694,0.6662465112,2.301476546,172438,1184,4090
VA,Emporia,51595,2174,0,0,0,0,65.27138914,0.2759889604,0.1379944802,0,0,0.09199632015,0,0,0,0,0,34.22263109,0,0,0,0,97.78225806,0,2.217741935,2425,0,55
CA,Los Angeles,6037,3690056,1.240658678,0,0,0,65.24212641,1.109332758,0,0,0,0.3475286012,0,0,0,0,0,32.06035356,0,0,0,0,99.38241947,0.2346290014,0.3829515257,2041620,4820,7867
FL,Gadsden,12039,21798,0,0,0,0,65.15735389,0.2385539958,0,0,0,0.2202036884,0,0,0,0,0,34.38388843,0,0,0,0,93.34186285,1.837256909,4.820880246,18239,359,942
VA,Fredericksburg,51630,13454,0,0,0,0,65.11074773,0.6986769734,0.2824438829,0,0,0.6094841683,0,0,0,0,0,33.29864724,0,0,0,0,98.99638699,0.1338150676,0.8697979392,7398,10,65
MS,Quitman,28119,2645,0,0,0,0,65.06616257,0.07561436673,0.5671077505,0,0,0.3402646503,0,0,0,0,0,33.95085066,0,0,0,0,91.76626826,0.6905710491,7.543160691,3455,26,284
AL,Montgomery,1101,89088,0,0,0,0,64.80558549,0.2390894397,0.8272719109,0,0,0,0,0,0,0,0,34.12805316,0,0,0,0,98.65478449,0.2654287521,1.079786753,87345,235,956
MS,Washington,28151,10393,0,0,0,0,64.75512364,0.1154623304,0.5292023477,0,0,0.1154623304,0,0,0,0,0,34.48474935,0,0,0,0,94.36574812,0.6422227283,4.992029151,20718,141,1096
AK,,2917,7180,0,0.09749303621,0.6685236769,0.06963788301,64.72144847,0.9749303621,1.47632312,0,0,0.7242339833,0,0,0,0,0,31.26740947,0,0,0,0,,,,,,
TX,Presidio,48377,1992,0,0,0,0,64.65863454,0.4518072289,0,0,0,0.4518072289,0,0,0,0,0,34.437751,0,0,0,0,88.13982522,10.61173533,1.248439451,3530,425,50
ID,Blaine,16013,13029,0,0,0,0,64.6557679,0.4451607951,1.481310922,0,0,0.560288587,0,0,0,0,0,32.85747179,0,0,0,0,90.34653465,1.988182689,7.665282657,11315,249,960
CA,Alpine,6003,687,0.8733624454,0,0,0,64.62882096,0.5822416303,0,0,0,0.2911208151,0,0,0,0,0,33.62445415,0,0,0,0,20.18819504,10.00855432,69.80325064,236,117,816
GA,Henry,13151,129035,0,0,0,0,64.52047894,0.2743441702,0,0,0,0.3448676716,0,0,0,0,0,34.86030922,0,0,0,0,99.19216733,0.4287182152,0.3791144548,83987,363,321
