COMPNOS,NatureCode,Location
120423666,HITRUN,"(42.34898135, -71.15091453)"
120421496,IVPER ,"(42.35280082, -71.06096411)"
120421933,MISPER,"(42.38572059, -71.00413007)"
120421555,ARREST,"(42.32753635, -71.08322955)"
120422975,LSTPRP,"(42.34710135, -71.07960455)"
120423855,LARCRT,"(42.3399307, -71.08097569)"
120421497,TSTOP ,"(42.30524136, -71.08473956)"
120421500,LARCIP,"(42.32283635, -71.10382955)"
120421890,IVDRUG,"(42.308074, -71.10254619)"
120421524,ARREST,"(42.29040636, -71.05115457)"
120421543,SHPLFT,"(42.37468775, -71.03891217)"
120421544,FIREB ,"(42.37254134, -71.04017957)"
120423959,IVPER ,"(42.30593136, -71.05759957)"
120421561,MVA   ,"(42.33043135, -71.11141955)"
120421560,IVPER ,"(42.34445634, -71.06560956)"
120421562,TRAUMA,"(42.31432135, -71.10305455)"
120421567,MVANO ,"(42.33238942, -71.08135015)"
120421581,CARST ,"(42.32170135, -71.10993455)"
120426990,INVEST,"(42.35926134, -71.05417956)"
120421595,ARREST,"(42.36913134, -71.03973957)"
120421695,STOLMV,"(42.29476483, -71.08204862)"
120422019,STOLMV,"(42.24810096, -71.13259159)"
120458904,LARCRT,"(42.38355134, -71.01770458)"
120472557,LARCRT,"(42.32634635, -71.06646456)"
130128792,IVPER ,"(42.32159368, -71.07224047)"
130130902,IVPER ,"(42.32159368, -71.07224047)"
130447556,IVPER ,"(42.37374134, -71.03903957)"
120422093,LSTPRP,"(42.27598999, -71.09248634)"
120461164,MISPER,"(42.29779635, -71.07266456)"
120464137,LSTPRP,"(42.29125636, -71.07560456)"
120421611,HARPT ,"(42.34698906, -71.15576543)"
120421635,ABRPT ,"(42.35061784, -71.12851965)"
120421640,ABRPT ,"(42.26867137, -71.09379956)"
120421656,SDNDTH,"(42.37718134, -71.03390457)"
120421666,MVA   ,"(42.27825136, -71.06642456)"
120420872,CD35  ,"(42.31246635, -71.05733456)"
120421694,TSTOP ,"(42.28688136, -71.12869955)"
120421706,ARREST,"(42.30713635, -71.10678455)"
120421732,IVLIC ,"(42.34995634, -71.08940455)"
130130901,IVPER ,"(42.32159368, -71.07224047)"
130130903,IVPER ,"(42.32159368, -71.07224047)"
120421733,ROBRPT,"(42.35047863, -71.13290212)"
120423863,LARCRT,"(42.35313135, -71.13851453)"
120421757,HARPT ,"(42.31128635, -71.07825456)"
120421730,FIGHT ,"(42.32114205, -71.09089327)"
120422010,TRANSP,"(42.32543556, -71.06387302)"
120421750,LARCIP,"(42.33560574, -71.03656954)"
120421760,THREAT,"(42.30468635, -71.05908456)"
120421770,MVAINJ,"(42.27998137, -71.11901955)"
120421806,UNCONS,"(42.32543556, -71.06387302)"
120421833,UNCONS,"(42.33829131, -71.15417745)"
120422123,LSTPRP,"(42.35925134, -71.05941456)"
130130904,IVPER ,"(42.32159368, -71.07224047)"
120424759,IVPER ,"(42.32639557, -71.08484379)"
120421669,MEET  ,"(42.33490135, -71.07516956)"
120422372,LSTPRP,"(42.35170634, -71.06118456)"
120421882,IVDRUG,"(42.28846136, -71.11231955)"
120421848,ARREST,"(42.33399593, -71.07639912)"
120421849,REQP  ,"(42.34639135, -71.08820956)"
120421888,LARCIP,"(42.32543556, -71.06387302)"
120421903,MVAINJ,"(42.31435135, -71.11409454)"
120422004,ARREST,"(42.28739788, -71.06193281)"
120421928,LARCIP,"(42.36469134, -71.06261956)"
120421920,MVANO ,"(42.33699135, -71.10929955)"
120422009,IVPER ,"(42.33950635, -71.06938956)"
120421939,REQP  ,"(42.25332425, -71.12466158)"
120422210,BEMVRT,"(42.32723569, -71.08059616)"
120422018,LARCRT,"(42.35634134, -71.06208456)"
120421986,ROBIP ,"(42.29041636, -71.07270956)"
120421703,TRACK ,"(42.34885635, -71.08964455)"
120421993,PERGUN,"(42.30169135, -71.05989956)"
120422619,HARPT ,"(42.37284134, -71.03944457)"
120422051,HITRUN,"(0.0, 0.0)"
120422293,BEMVRT,"(42.32978135, -71.07442956)"
120423116,LSTPRP,"(42.35170634, -71.06273456)"
130130905,IVPER ,"(42.32159368, -71.07224047)"
120422001,MISC  ,"(42.33919135, -71.03654957)"
120428924,THREAT,"(42.31787135, -71.08912955)"
120421667,VANRPT,"(42.3480306, -71.13543899)"
120422132,IVPER ,"(42.33680635, -71.15184953)"
120422030,INVEST,"(42.37956634, -71.03879457)"
120422035,FDWEAP,"(42.3286598, -71.08561842)"
120422028,DVIP  ,"(42.28801136, -71.08241956)"
130131031,IVPER ,"(42.32159368, -71.07224047)"
120422160,ABRPT ,"(42.34315135, -71.07312956)"
120437920,LARCRT,"(42.31387556, -71.06380408)"
120422507,ABRPT ,"(42.32257748, -71.07284193)"
120422082,SHOTS ,"(42.30397135, -71.08486956)"
120422452,THREAT,"(42.31617349, -71.08920463)"
120437899,VANRPT,"(0.0, 0.0)"
120422109,BERPT ,"(42.27931764, -71.12993814)"
120422172,ARREST,"(42.33218135, -71.05346456)"
120422215,IVPREM,"(42.33950635, -71.06938956)"
120424766,INVEST,"(42.32779635, -71.05437456)"
120422140,LARCRT,"(42.30548136, -71.10841955)"
120422091,BERPT ,"(42.31544792, -71.08171016)"
120422354,CD19  ,"(42.35494078, -71.05644456)"
120422300,ARREST,"(42.35164135, -71.07485456)"
120422199,MVPED1,"(0.0, 0.0)"
120422221,SSTOP ,"(42.37537141, -71.03907875)"
120422295,IVPER ,"(42.3635367, -71.06177941)"
120423472,BEMVRT,"(42.34238635, -71.07948956)"
120422250,VANRPT,"(42.26795957, -71.09472696)"
120422290,THREAT,"(42.33218135, -71.05346456)"
120422277,PERGUN,"(42.26164137, -71.15394951)"
120422286,IVPER ,"(42.29188436, -71.12921706)"
120423493,BEMVRT,"(42.32858135, -71.05497456)"
120422291,IVPER ,"(42.33044723, -71.08165603)"
120425296,FDPROP,"(42.35589829, -71.13850805)"
120425891,LARCRT,"(42.29173624, -71.11528811)"
120424027,VANRPT,"(42.3257856, -71.08563716)"
120454021,LARCRT,"(42.36329784, -71.13445575)"
120422318,IVPER ,"(42.32604135, -71.08650955)"
120422347,LARCIP,"(42.35057135, -71.07881456)"
120422314,INVCHD,"(42.29138135, -71.05106457)"
120423818,IVPREM,"(42.31494635, -71.05991956)"
120424336,LSTPRP,"(42.37750134, -71.03812957)"
120456645,VANRPT,"(42.29740215, -71.08525677)"
120423862,BERPT ,"(42.27377636, -71.09348455)"
120422283,BERPT ,"(42.31439871, -71.11482226)"
120423600,BERPT ,"(42.27970636, -71.11834954)"
120422433,HITRUN,"(42.26877137, -71.11409455)"
120452285,INVEST,"(42.34874135, -71.08564956)"
120422469,UNK   ,"(42.37619134, -71.03980956)"
120424589,VANRPT,"(0.0, 0.0)"
120424966,STOLMV,"(42.28837819, -71.08614367)"
120428361,STOLMV,"(42.33212635, -71.02840457)"
120422471,LARCIP,"(42.34491393, -71.09641336)"
120422449,IVPER ,"(42.24662137, -71.11893955)"
120423477,VANRPT,"(42.30967409, -71.06008082)"
120425785,MVANO ,"(42.29807047, -71.07178402)"
120422850,IVMV  ,"(42.33763635, -71.07590956)"
120422510,MVPED2,"(42.31295136, -71.09259956)"
120422523,IVPER ,"(42.28476136, -71.04844457)"
120422547,MVPED1,"(42.35061135, -71.05095957)"
120422564,STOLMV,"(42.30524136, -71.08473956)"
120423632,VANRPT,"(42.35404135, -71.14785953)"
120422550,THREAT,"(42.28629136, -71.09216455)"
120422549,SHOT  ,"(42.35922134, -71.13699953)"
120422530,BERPT ,"(42.37901634, -71.03921957)"
